id,RA,DEC,plx,pmRA,pmDEC,Gmag,e_Gmag,BPmag,RPmag,RV,r,P
3056683797422218368,116.65108435664916,-4.581073980073166,0.17733163467360555,-1.6298187967859037,-1.5472174221695414,17.966993,0.0029652668527851496,18.374855,17.415829,,5.884632267497385,0.927923877348993
3056677681388559872,116.75778842256605,-4.7462391961671795,0.10826714091273346,-1.583257978845642,-1.5039848037213632,18.924438,0.003428739372074358,19.333546,18.277937,,5.906636184656928,0.8104950889823794
3056683797422218240,116.64937391403139,-4.5814757327085625,0.22022585205990308,-1.786149856461376,-1.6614737959299994,17.347809,0.002885308536493896,17.712198,16.845913,,5.91778102854986,0.9613410747409189
3056682186814127104,116.6037239020927,-4.676745544500501,0.269595911172707,-1.8843521392048725,-1.5793403618060078,17.276653,0.002878191088743641,17.627548,16.748394,,5.919085702296377,0.8699615820092322
3056680984223189248,116.7978632642842,-4.6378986592431115,0.053250452637399054,-1.833300631078692,-1.5630379583770502,17.172949,0.004474712014337673,17.871216,16.373037,,5.9590041173839765,0.9482068427733659
3056683629923090688,116.62144138609654,-4.606191284453659,0.18106360375504923,-1.8032506658874372,-1.5757296445942937,16.585667,0.0028149476296233916,16.994347,16.004957,,5.971663127005006,0.9603139319748546
3056680193949357824,116.80069473556144,-4.6485440375349505,0.2455157682185995,-1.8552185878567131,-1.6684735347206898,17.421432,0.0029102564772514115,17.836994,16.843315,,5.9841529684926,0.9250540759804683
3056680189649582080,116.79972175960043,-4.643466999476934,0.07269402934131365,-1.548949011928142,-1.5422983252173774,18.526545,0.003253361627782143,18.956089,17.898043,,5.98508263295909,0.7767895620418254
3056679777332651520,116.80034097416446,-4.685617661925312,0.23993991708813986,-1.8837155702158401,-1.5736844905426002,18.494526,0.0032167361499346675,18.942808,17.914125,,6.009527638901205,0.8908764449074424
3056683797422214784,116.64305090891452,-4.582939188612174,0.3501668015452931,-1.8226525882024363,-1.59330956745454,18.297655,0.0031409915342644223,18.683336,17.70381,,6.055658176269925,0.8667803709609829
3056679811692403840,116.80280461860568,-4.676518542662754,0.37886446899599796,-1.7073197671093117,-1.5905953751086355,18.525595,0.003231730479076533,18.954268,17.933615,,6.067678795349261,0.8717918714164197
3056682255533602816,116.60049864693319,-4.670774961520864,0.10375585008745847,-1.8058246570637797,-1.661124447685924,16.681486,0.0028199339479457177,17.144997,16.037046,,6.079763140639017,0.9561275372708975
3056682251236416256,116.60031268420634,-4.669580325427988,0.14373320872102133,-1.750558545144327,-1.5987223709362781,17.712385,0.0029519848278936806,18.059612,17.122013,,6.087214052992847,0.9708767023416115
3056682251233830272,116.60041632815853,-4.674619460939522,0.35859850784267283,-1.7933367942344292,-1.4892806996062633,18.90114,0.00344764597426476,19.368681,18.280437,,6.102144262393693,0.600604286246157
3056585081895751808,116.61885957022044,-4.724373414869762,0.041046671261742315,-1.8766768612069822,-1.631908432479355,18.07543,0.0030643806723455167,18.583908,17.456036,,6.116242559837561,0.9150221448455746
3056684656415669632,116.76785706312039,-4.587004297990675,0.22412064214322863,-1.8165391909433604,-1.6023078668027717,17.70117,0.0029630513014046473,18.08411,17.146517,,6.11654904043746,0.9547121165153355
3056678196784649728,116.78746613002839,-4.721180081391707,0.24061593785138916,-1.8058832366006783,-1.513338989497501,18.464622,0.0031649818251223293,18.95658,17.884443,,6.122282676897075,0.89667790597018
3056682255531139456,116.59935991197084,-4.668013883321896,0.19865925803067597,-1.9003773549257996,-1.5443983787510471,16.741888,0.002835289071369003,17.052507,16.158585,,6.140654076395814,0.8671857043765384
3056583741865875200,116.70184022381102,-4.76750554890182,0.3627664691836186,-1.8029941572832473,-1.5623156129529339,18.405134,0.003102477538228923,18.884975,17.779968,,6.150340354925345,0.8254861930214874
3056588350369259136,116.60220525158066,-4.690545418854623,0.15878460183973067,-1.739638141527181,-1.5320605262577849,17.284088,0.0028842021380841485,17.670053,16.72997,,6.161426180241845,0.9540144765043367
