id,RA,DEC,plx,pmRA,pmDEC,Gmag,e_Gmag,BPmag,RPmag,RV,r,P
2076392803863101696,295.37551987766903,40.169019183233424,0.3447744762166046,-3.013242551836104,-3.85695202580803,18.564333,0.0031623032009574377,19.215267,17.82357,,2.555757473445053,0.9620461334811771
2076299895139967744,295.2845504667023,40.161934642907816,0.3620225885171101,-2.803575455186162,-4.085524163137018,16.710386,0.00280533427769208,17.123758,16.145966,,2.57346593143022,0.8606504591708694
2076487808537733248,295.29716272600035,40.2264245032256,0.3086678539163492,-2.713123959900684,-3.962076700632232,18.505299,0.003182195838726064,19.068638,17.605621,,2.5778949780112956,0.8272753085647302
2076487666798850560,295.27991055731223,40.21372751187939,0.35917282724929334,-2.9326805702962564,-4.007634658345859,15.367672,0.0027715981266861456,15.682287,14.885667,,2.585247613973364,0.9601777382763672
2076392803871145600,295.3786216704558,40.172336761777714,0.34970214854945686,-3.1244461569475446,-3.9661996086819817,17.223415,0.002863191577394825,17.687078,16.608839,,2.592843115701024,0.7100699776709711
2076299517182944768,295.2795252799555,40.166220091517125,0.38649890969349726,-3.016932062503429,-3.9754947716849554,15.796343,0.002780205295815736,16.132547,15.294628,,2.6023634779550417,0.9511981015586122
2076298963119377408,295.3688414085179,40.160619927365914,0.26850634032594634,-3.0466795602358547,-3.7739842225467255,18.269833,0.0030481014109215686,18.8664,17.497967,,2.605178596358485,0.6385923975198959
2076299654621822720,295.3264553725497,40.146485537512746,0.34776812135597573,-2.880637169001413,-3.9022876088391065,14.666532,0.0027621666925680224,15.030405,14.134516,,2.610987158518748,0.9811034640117794
2076299620262070144,295.307988831174,40.14892856414073,0.3695832631181931,-2.9486917428843666,-3.7983180556592955,15.401302,0.0027692083713404467,15.73652,14.899284,,2.613895127559969,0.9794511334305052
2076393937742523904,295.3394613270205,40.2325726738039,0.37435333170365753,-2.9718411027421388,-3.958372429692208,12.718852,0.0027581389392552537,13.33748,11.968049,2.4418173,2.617398500667614,0.9713336103691066
2076394006453986432,295.33140055157014,40.23356128663865,0.44914046536568736,-3.0333559746977095,-3.9855955927819147,16.756542,0.0028137460822862744,17.155872,16.19046,,2.6214431348136884,0.8956534530141376
